Vegitation,NDVI,NDWI1,CAI,EVI,GNDVI,SAVI,MSI,ARI,DWSI,CVI
"Mar 8, 2021",0.335,-0.398,0.826,0.189,0.398,0.195,1.03,4.438,0.869,4.252
"Mar 15, 2021",0.342,-0.399,0.779,0.244,0.399,0.236,0.857,3.291,0.877,4.12
"Mar 20, 2021",0.299,-0.362,0.821,0.186,0.362,0.197,0.975,3.179,0.872,3.975
"Mar 28, 2021",0.324,-0.348,0.781,0.22,0.348,0.2,0.949,2.641,0.949,3.201
"Mar 30, 2021",0.234,-0.288,0.843,0.172,0.288,0.157,1.006,1.952,0.89,2.713
"Apr 2, 2021",0.259,-0.36,0.814,0.174,0.36,0.174,1.015,2.902,0.799,3.448
"Apr 4, 2021",0.357,-0.412,0.809,0.257,0.412,0.244,0.927,3.184,0.881,4.341
"Apr 7, 2021",0.367,-0.421,0.775,0.242,0.421,0.231,0.922,3.67,0.883,4.089
"Apr 9, 2021",0.234,-0.351,0.834,0.17,0.351,0.168,1.099,2.738,0.775,3.505
"Apr 12, 2021",0.209,-0.3,0.826,0.148,0.3,0.142,1.116,2.384,0.823,2.909
"Apr 24, 2021",0.265,-0.362,0.835,0.192,0.362,0.185,1.087,2.782,0.806,3.429
"Apr 27, 2021",0.274,-0.364,0.842,0.18,0.364,0.173,1.152,3.144,0.819,3.532
"Apr 29, 2021",0.179,-0.263,0.874,0.13,0.263,0.12,1.231,2.171,0.837,2.632
"May 2, 2021",0.178,-0.226,0.863,0.14,0.226,0.117,1.197,1.717,0.905,2.284
"May 7, 2021",0.329,-0.373,0.846,0.221,0.373,0.201,1.126,3.202,0.906,3.581
"May 9, 2021",0.201,-0.248,0.884,0.168,0.248,0.137,1.246,1.715,0.905,2.389
"May 14, 2021",0.305,-0.349,0.887,0.235,0.349,0.213,1.042,2.098,0.909,2.994
"May 17, 2021",0.377,-0.391,0.873,0.272,0.391,0.243,1.01,2.993,0.97,3.594
"May 22, 2021",0.439,-0.448,0.809,0.336,0.448,0.306,0.913,3.423,0.988,4.571
"May 24, 2021",0.192,-0.265,0.901,0.147,0.265,0.136,1.231,2.01,0.858,2.612
"May 27, 2021",0.234,-0.305,0.937,0.157,0.305,0.145,1.242,2.739,0.861,2.944
"May 29, 2021",0.159,-0.219,0.897,0.124,0.219,0.111,1.261,1.706,0.885,2.366
"Jun 6, 2021",0.256,-0.308,0.892,0.177,0.308,0.162,1.194,2.553,0.895,3.118
"Jun 8, 2021",0.181,-0.238,0.87,0.147,0.238,0.129,1.16,1.315,0.887,2.3
"Jun 11, 2021",0.161,-0.199,0.853,0.127,0.199,0.109,1.165,1.313,0.925,2.088
"Jun 23, 2021",0.207,-0.241,0.894,0.156,0.241,0.14,1.009,1.474,0.934,2.296
"Jun 26, 2021",0.213,-0.235,0.835,0.176,0.235,0.143,0.954,1.611,0.954,2.4
"Jun 28, 2021",0.202,-0.21,0.816,0.159,0.21,0.131,1.082,1.586,0.983,2.262
"Jul 1, 2021",0.203,-0.215,0.862,0.174,0.215,0.146,0.91,1.116,0.977,2.069
"Jul 6, 2021",0.226,-0.237,0.814,0.17,0.237,0.143,1.031,1.692,0.977,2.411
"Jul 8, 2021",0.225,-0.235,0.819,0.173,0.235,0.149,1.086,2.065,0.98,2.743
"Jul 16, 2021",,,,,,,,,,
"Jul 21, 2021",0.379,-0.353,0.709,0.258,0.353,0.221,0.813,2.313,1.064,3.04
"Aug 10, 2021",0.484,-0.452,0.687,0.42,0.452,0.335,0.776,2.366,1.087,4.207
"Aug 12, 2021",0.462,-0.489,0.706,0.347,0.489,0.333,0.823,3.463,0.938,5.79
"Aug 15, 2021",0.574,-0.572,0.66,0.386,0.572,0.384,0.769,4.847,1.012,7.595
"Aug 17, 2021",0.417,-0.435,0.744,0.334,0.435,0.298,0.896,2.569,0.962,4.359
"Aug 25, 2021",0.686,-0.652,0.697,0.484,0.652,0.452,0.682,6.761,1.146,9.402
"Aug 27, 2021",0.571,-0.57,0.678,0.416,0.57,0.408,0.755,4.945,1.014,7.28
"Sep 6, 2021",0.561,-0.496,0.694,0.509,0.496,0.385,0.825,2.581,1.208,4.583
"Sep 16, 2021",0.587,-0.517,0.703,0.491,0.517,0.405,0.754,2.911,1.255,4.73
"Sep 24, 2021",0.634,-0.602,0.622,0.395,0.602,0.376,0.751,6.717,1.146,8.435
"Sep 26, 2021",0.589,-0.534,0.708,0.42,0.534,0.392,0.754,4.242,1.198,5.571
"Sep 29, 2021",0.423,-0.239,0.627,3.059,0.239,0.303,0.456,-2.424,1.558,0.713
"Oct 1, 2021",0.466,-0.402,0.765,0.459,0.402,0.327,0.832,1.593,1.173,3.357
"Oct 6, 2021",0.528,-0.512,0.708,0.391,0.512,0.361,0.814,4.349,1.053,6.177
"Oct 9, 2021",0.57,-0.54,0.691,0.372,0.54,0.378,0.816,5.015,1.102,6.813
"Oct 11, 2021",0.497,-0.509,0.724,0.351,0.509,0.343,0.841,4.51,0.976,6.007
"Oct 14, 2021",0.592,-0.582,0.683,0.362,0.582,0.368,0.863,6.942,1.04,8.61
"Oct 16, 2021",0.442,-0.436,0.758,0.332,0.436,0.293,0.921,3.354,1.017,4.488
"Oct 19, 2021",0.457,-0.427,0.743,0.338,0.427,0.291,0.898,3.168,1.083,4.211
"Oct 21, 2021",0.424,-0.427,0.745,0.335,0.427,0.282,0.909,3.06,0.994,3.99
"Oct 26, 2021",0.513,-0.516,0.683,0.35,0.516,0.334,0.819,4.885,0.997,6.222
"Oct 29, 2021",0.496,-0.487,0.715,0.356,0.487,0.319,0.819,3.91,1.033,5.068
"Oct 31, 2021",0.406,-0.406,0.741,0.32,0.406,0.266,0.902,2.794,1.001,3.721
"Nov 3, 2021",0.345,-0.348,0.705,0.283,0.348,0.224,0.948,2.043,0.995,3.076
"Nov 8, 2021",0.376,-0.379,0.739,0.29,0.379,0.243,0.922,2.636,0.995,3.566
"Nov 10, 2021",0.331,-0.358,0.769,0.286,0.358,0.231,1.029,1.901,0.941,2.847
"Nov 13, 2021",0.433,-0.476,0.707,0.321,0.476,0.289,0.897,3.884,0.905,4.809
"Nov 15, 2021",0.279,-0.329,0.771,0.226,0.329,0.193,1.084,2.143,0.897,2.903
"Nov 18, 2021",0.266,-0.348,0.774,0.211,0.348,0.193,1.018,2.034,0.833,2.966
"Nov 20, 2021",0.38,-0.407,0.772,0.296,0.407,0.253,0.977,2.703,0.948,3.833
"Nov 23, 2021",0.443,-0.444,0.774,0.311,0.444,0.278,0.903,3.483,1.014,4.141
"Nov 25, 2021",0.23,-0.255,0.855,0.166,0.255,0.14,1.208,1.883,0.949,2.492
"Nov 28, 2021",0.215,-0.219,0.837,0.165,0.219,0.132,1.123,1.387,0.991,2.08
"Nov 30, 2021",0.341,-0.36,0.775,0.26,0.36,0.221,1.01,2.153,0.964,2.943
"Dec 5, 2021",0.24,-0.259,0.84,0.225,0.259,0.163,1.261,1.49,0.961,2.375
"Dec 8, 2021",0.289,-0.347,0.823,0.175,0.347,0.17,1.171,3.333,0.879,3.361
"Dec 10, 2021",0.294,-0.339,0.815,0.207,0.339,0.183,1.156,2.911,0.905,3.23
"Dec 13, 2021",0.286,-0.238,0.779,0.265,0.238,0.18,0.948,0.911,1.11,1.961
"Dec 15, 2021",0.251,-0.247,0.774,0.198,0.247,0.154,1.077,1.731,1.009,2.242
"Dec 18, 2021",0.221,-0.207,0.782,0.199,0.207,0.142,0.965,1.247,1.03,1.965
"Dec 20, 2021",0.3,-0.325,0.784,0.212,0.325,0.185,1.13,2.675,0.947,3.05
"Dec 25, 2021",0.232,-0.198,0.798,0.211,0.198,0.146,1,0.989,1.075,1.836
"Jan 29, 2022",0.33,-0.334,0.799,0.334,0.334,0.251,0.865,1.38,0.995,2.55
"Feb 8, 2022",0.266,-0.25,0.81,0.353,0.25,0.216,0.82,0.72,1.035,1.972
"Feb 11, 2022",0.385,-0.362,0.822,0.433,0.362,0.301,0.77,1.087,1.057,2.427
"Feb 13, 2022",0.357,-0.34,0.824,0.408,0.34,0.286,0.805,1.133,1.041,2.46
"Feb 16, 2022",0.357,-0.351,0.835,0.386,0.351,0.281,0.823,1.208,1.016,2.596
"Feb 18, 2022",0.377,-0.37,0.848,0.458,0.37,0.308,0.766,1.231,1.019,2.792
"Feb 21, 2022",0.405,-0.401,0.827,0.457,0.401,0.327,0.76,1.536,1.011,3.02
"Feb 28, 2022",0.363,-0.368,0.833,0.409,0.368,0.295,0.812,1.251,0.99,2.782
